date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2,total_rating,winning_team
2022-10-18,2023,BOS,PHI,1657.63974912662,1582.24732707837,0.7329496792169642,0.2670503207830358,1662.1988835837,1577.68819262129,126.0,117.0,75.39242204824995,BOS
2022-10-18,2023,GSW,LAL,1660.62030668214,1442.35244391326,0.8620113605559427,0.1379886394440572,1663.44948924052,1439.52326135488,123.0,109.0,218.26786276887992,GSW
2022-10-19,2023,IND,WAS,1399.20193369588,1440.07737182705,0.5842751356684089,0.415724864331591,1388.88311903111,1450.39618649182,107.0,114.0,-40.875438131170085,WAS
2022-10-19,2023,DET,ORL,1393.52517223431,1366.089249189,0.6755904178506404,0.3244095821493595,1397.24891305639,1362.36550836692,113.0,109.0,27.43592304531012,DET
2022-10-19,2023,TOR,CLE,1553.50036632913,1488.39720973753,0.7211976586263064,0.2788023413736936,1556.2540120407,1485.64356402596,108.0,105.0,65.10315659160005,TOR
2022-10-19,2023,ATL,HOU,1535.40815239568,1351.16497332446,0.8370220184388393,0.1629779815611607,1538.16408225884,1348.4090434613,117.0,107.0,184.24317907121986,ATL
2022-10-19,2023,MEM,NYK,1605.02465402234,1520.38721755686,0.7432364335032929,0.256763566496707,1607.52609917942,1517.88577239978,115.0,112.0,84.63743646548005,MEM
2022-10-19,2023,MIA,CHI,1617.95310870384,1447.48900636508,0.8259104491351971,0.1740895508648029,1598.81471441712,1466.6274006518,108.0,116.0,170.46410233875986,CHI
2022-10-19,2023,BRK,NOP,1528.45978319936,1534.68624442468,0.6317667943371347,0.3682332056628653,1504.54069371772,1558.60533390632,108.0,130.0,-6.2264612253200085,NOP
2022-10-19,2023,SAS,CHO,1490.00006264936,1527.43779468429,0.5890736856029641,0.4109263143970358,1464.87341631393,1552.56444101972,102.0,129.0,-37.43773203493015,CHO
2022-10-19,2023,MIN,OKC,1542.31395090346,1366.06901414863,0.8306433512275968,0.1693566487724032,1544.64771395827,1363.73525109382,115.0,108.0,176.24493675482995,MIN
2022-10-19,2023,UTA,DEN,1551.76003357947,1524.9651967996,0.6747810790818942,0.3252189209181058,1561.768195301,1514.95703507807,123.0,102.0,26.79483677986991,UTA
2022-10-19,2023,PHO,DAL,1588.40701277704,1600.25575002457,0.6242060322946893,0.3757939677053107,1591.79935255589,1596.86341024572,107.0,105.0,-11.848737247529925,PHO
2022-10-19,2023,SAC,POR,1413.46785374292,1315.97721277595,0.7571003688361516,0.2428996311638483,1398.33899260339,1331.10607391548,108.0,115.0,97.49064096696998,POR
2022-10-20,2023,PHI,MIL,1577.68819262129,1584.13085304969,0.6314772195805215,0.3685227804194785,1571.09207589066,1590.72696978032,88.0,90.0,-6.442660428399904,MIL
2022-10-20,2023,LAL,LAC,1439.52326135488,1519.60647348965,0.5286312063078279,0.4713687936921721,1431.21536521953,1527.914369625,97.0,103.0,-80.08321213476984,LAC
2022-10-21,2023,WAS,CHI,1450.39618649182,1466.6274006518,0.6182700450784729,0.381729954921527,1453.85343374588,1463.17015339774,102.0,100.0,-16.231214159980027,WAS
2022-10-21,2023,CHO,NOP,1552.56444101972,1558.60533390632,0.6320152667373115,0.3679847332626885,1536.66044988934,1574.5093250367,112.0,124.0,-6.040892886599977,NOP
2022-10-21,2023,IND,SAS,1388.88311903111,1464.87341631393,0.5344978416149595,0.4655021583850405,1382.78973334163,1470.96680200341,134.0,137.0,-75.99029728281994,SAS
2022-10-21,2023,NYK,DET,1517.88577239978,1397.24891305639,0.7807577874200752,0.2192422125799248,1524.82623608487,1390.3084493713,130.0,106.0,120.63685934339014,NYK
2022-10-21,2023,MIA,BOS,1598.81471441712,1662.1988835837,0.5525001903615011,0.4474998096384989,1589.23808123439,1671.77551676643,104.0,111.0,-63.38416916658002,BOS
2022-10-21,2023,ATL,ORL,1538.16408225884,1362.36550836692,0.830281583783812,0.169718416216188,1541.04987537323,1359.47971525253,108.0,98.0,175.7985738919199,ATL
2022-10-21,2023,BRK,TOR,1504.54069371772,1556.2540120407,0.569046138550263,0.430953861449737,1509.78897800573,1551.00572775269,109.0,105.0,-51.71331832298006,BRK
2022-10-21,2023,MIN,UTA,1544.64771395827,1561.768195301,0.6170611615103895,0.3829388384896105,1534.4269049062,1571.98900435307,126.0,132.0,-17.120481342730045,UTA
2022-10-21,2023,HOU,MEM,1348.4090434613,1607.52609917942,0.2857835418780714,0.7142164581219286,1344.14355385446,1611.79158878626,122.0,129.0,-259.1170557181201,MEM
2022-10-21,2023,POR,PHO,1331.10607391548,1591.79935255589,0.2839351497182948,0.7160648502817051,1339.04673977175,1583.85868669962,113.0,111.0,-260.69327864040997,POR
2022-10-21,2023,GSW,DEN,1663.44948924052,1514.95703507807,0.8069694822331271,0.1930305177668728,1649.2734919987,1529.13303231989,123.0,128.0,148.49245416245003,DEN
2022-10-22,2023,PHI,SAS,1571.09207589066,1470.96680200341,0.7598785317708528,0.2401214682291471,1553.47919346187,1488.5796844322,105.0,114.0,100.12527388724993,SAS
2022-10-22,2023,IND,DET,1382.78973334163,1390.3084493713,0.6300345566141312,0.3699654433858688,1389.49593583923,1383.6022468737,124.0,115.0,-7.518716029670031,IND
2022-10-22,2023,ORL,BOS,1359.47971525253,1671.77551676643,0.227571869750053,0.7724281302499469,1356.47117312257,1674.78405889639,120.0,126.0,-312.29580151389996,BOS
2022-10-22,2023,MIA,TOR,1589.23808123439,1551.00572775269,0.6890602161442887,0.3109397838557113,1592.3685824465,1547.87522654058,112.0,109.0,38.232353481699874,MIA
